ItemFullNumber,LotFullNumber,LotUrl,LotCategory,LotName*,LotDescription,Warranty,LotImage,LowEstimate,HighEstimate,StartingBid*,Increment,Cost,Replacement Price,ReservePrice,Consignor,ListingOnly,BestOffer,BuyNowAmount,NoBidding,SalesTax,HpTaxSchemaId,BpTaxSchemaId,NoTaxOutsideState,Featured?,Quantity,QuantityDigits,QuantityXMoney,BuyNowSelectQuantity,T&C,Changes,OnlyTaxBP,"Location (named, mutually exclusive with detailed location)",Location address,Location country,Location city,Location county,Location logo,Location state,location zip,BulkControl,BulkWinBidDistribution,BpSetting,BpRangeCalculation,SeoMetaTitle,SeoMetaKeywords,SeoMetaDescription,FbOgTitle,FbOgDescription,FbOgImageUrl,GeneralNote,NoteToClerk,PublishDate,StartBiddingDate,UnpublishDate,StartClosingDate,ConsignorCommissionId,ConsignorCommissionRanges,ConsignorCommissionCalculationMethod,ConsignorSoldFeeId,ConsignorSoldFeeRanges,ConsignorSoldFeeCalculationMethod,ConsignorSoldFeeReference,ConsignorUnsoldFeeId,ConsignorUnsoldFeeRanges,ConsignorUnsoldFeeCalculationMethod,ConsignorUnsoldFeeReference,Type,Primary Colour,Clarity,Primary Cut Shape,Diamond Carat,Purpose,Secondary Category,Secondary Colour,Secondary Diamond Carat,Diamond Carat Range,Gemstone Carat Range,Gold Carat,Metal,Pearl Size,Pearl Size Range,Origin,Model No,Certificate,Condition,Brand,Youtube,Other Bidding Methods,Condition Report,Additional Videos,Consignment Details,Australian & International Details
97418,120,,Diamond,6.03ct Diamond Tennis Bracelet,Diamond tennis bracelet with 57 round Natural Diamonds totalling 6.03ct (Estimated grading: H-I VS). 18ct white gold. Length: 18cm. Weight: 10.8g. With Valuation Certificate #422026. (New),,https://www.solditonline.com.au/catalogue/images/2021/97418-6.03ct-diamond-tennis-bracelet.jpg|https://www.solditonline.com.au/catalogue/images/2021/97418_2-6.03ct-diamond-tennis-bracelet.jpg|https://www.solditonline.com.au/catalogue/images/2021/97418_20-6.03ct-diamond-tennis-bracelet.jpg|https://www.solditonline.com.au/catalogue/images/2021/97418_3-6.03ct-diamond-tennis-bracelet.jpg|https://www.solditonline.com.au/catalogue/images/2021/97418_4-6.03ct-diamond-tennis-bracelet.jpg|https://www.solditonline.com.au/catalogue/images/2021/97418_5-6.03ct-diamond-tennis-bracelet.jpg,9000,9500,3200,,,,8600,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bracelet,,,Round,6.03,Tennis,,,,5 - 9.99,,18,White Gold,,,,,Mitchells Jewellery Valuations,New, ,,,"<strong>Notes:</strong> The valuation certificate accompanying this item does not necessarily reflect its resale, market, or auction value. Bidders should consider the purpose of the valuation and rely on their own research and judgment when determining their bid amount.
In most instances, the valuation is prepared to provide an independent assessment of the item’s replacement value for insurance purposes.",,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
97761,121,,Diamond,1.51ct Diamond Solitaire Ring GIA E VS2,Diamond solitaire ring with a round brilliant cut Natural Diamond of 1.51ct (with GIA Report graded as E VS2 # 2235689614). 18ct yellow gold and platinum 900. Ring size M. Band width 3.4mm - 2.6mm. Weight: 4.8g (New),,https://www.solditonline.com.au/catalogue/images/2021/97761-1.51ct-diamond-solitaire-ring-gia-e-vs2.jpg|https://www.solditonline.com.au/catalogue/images/2021/97761_1-1.51ct-diamond-solitaire-ring-gia-e-vs2.jpg|https://www.solditonline.com.au/catalogue/images/2021/97761_2-1.51ct-diamond-solitaire-ring-gia-e-vs2.jpg|https://www.solditonline.com.au/catalogue/images/2021/97761_20-1.51ct-diamond-solitaire-ring-gia-e-vs2.jpg|https://www.solditonline.com.au/catalogue/images/2021/97761_3-1.51ct-diamond-solitaire-ring-gia-e-vs2.jpg|https://www.solditonline.com.au/catalogue/images/2021/97761_4-1.51ct-diamond-solitaire-ring-gia-e-vs2.jpg|https://www.solditonline.com.au/catalogue/images/2021/97761_5-1.51ct-diamond-solitaire-ring-gia-e-vs2.jpg,13000,14000,4600,,,,12500,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ring,E,VS2,Round,1.51,Engagement,,,,1.5 - 1.99,,18,Platinum and Yellow Gold,,,,,GIA,New, ,https://www.youtube.com/watch?v=QRl3buPa4W0,,,,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
97479,122,,Watches Mens,Breitling Bentley Flying B Chronograph Watch,"Breitling Bentley Flying B stainless steel automatic mens watch. Pink chronograph dial, date, case diameter: 58.2mm x 38.5mm, wrist size: 21cm, Swiss made. Ref# A44365. With Breitling stainless steel bracelet and clasp. With Certificate of Authenticity, Breitling International Warranty Booklet dated 28/10/2007 and Breitling box. 3 month FSA warranty. Weight: 234.2g (Pre-owned)",,https://www.solditonline.com.au/catalogue/images/2021/97479-breitling-bentley-flying-b-chronograph-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/97479_1-breitling-bentley-flying-b-chronograph-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/97479_2-breitling-bentley-flying-b-chronograph-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/97479_20-breitling-bentley-flying-b-chronograph-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/97479_3-breitling-bentley-flying-b-chronograph-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/97479_4-breitling-bentley-flying-b-chronograph-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/97479_5-breitling-bentley-flying-b-chronograph-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/97479_6-breitling-bentley-flying-b-chronograph-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/97479_7-breitling-bentley-flying-b-chronograph-watch.jpg,6200,6500,2200,,,,6200,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watch,,,,,,,,,,,,Stainless Steel,,,,A44365,David Lightfoot Watchmaker,Pre-owned,Breitling,https://www.youtube.com/watch?v=2aujwbe06IU,,"<strong>Type:</strong> Breitling Ref# A44365 Bently Flying B, stainless steel.<p><strong>Dial:</strong> Pink chronograph dial with date window at 12 o'clock position and scratch-resistant sapphire crystal.<p><strong>Case No:</strong> 22….. (the serial number is concealed for security reasons in the online copy of the certificate)<p><strong>Case Info:</strong> 58.2mm x 38.5mm, stainless steel with 2 push button pushers and screw down crown.<p><strong>Watch Movement:</strong> Breitling calibre 44B, Self-winding, Autoamtic.<p><strong>Band:</strong> Breitling stainless steel bracelet with 13 links and foldover clasp.<p><strong>Condition:</strong> This timepiece is presented in good condition with minor scratches throughout, most notably on the caseback. The bracelet links show moderate wear. Overall, it remains well-presented.<p><strong><a href='https://www.firststateauctions.com/au/watch-condition-report'> (click here for more  information)</a></strong><p><strong>Box:</strong> Worn condition - deteriorated.<p><strong>Warranty:</strong> FSA warranty of 3 months applies to this watch.<p><strong><a href='https://www.firststateauctions.com/au/swiss-watches-warranty'> (click here for more  information)</a></strong><p><strong>Notes:</strong> Timekeeping accuracy has been tested within 20 seconds per day and warranty cover is for within 20 seconds per day.
<P>
Buyers to assume the watch hasn’t been serviced unless stated otherwise.",,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
97870,123,,Diamond,0.42ct Diamond Studs GIA E SI1,"Diamond stud earrings with 2 round brilliant cut Natural Diamonds totalling 0.72ct (with GIA summary Reports graded as E SI1 # 1518222282, 6511199785). 18ct yellow gold. Weight: 1.1g. (New)",,https://www.solditonline.com.au/catalogue/images/2021/97870-0.42ct-diamond-studs-gia-e-si1.jpg|https://www.solditonline.com.au/catalogue/images/2021/97870_1-0.42ct-diamond-studs-gia-e-si1.jpg|https://www.solditonline.com.au/catalogue/images/2021/97870_19-0.42ct-diamond-studs-gia-e-si1.jpg|https://www.solditonline.com.au/catalogue/images/2021/97870_2-0.42ct-diamond-studs-gia-e-si1.jpg|https://www.solditonline.com.au/catalogue/images/2021/97870_20-0.42ct-diamond-studs-gia-e-si1.jpg|https://www.solditonline.com.au/catalogue/images/2021/97870_3-0.42ct-diamond-studs-gia-e-si1.jpg,1400,1500,500,,,,1325,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Earrings,E,SI1,Round,0.72,Stud Earrings,,,,0.5 - 0.99,,18,Yellow Gold,,,,,GIA,New, ,,,,,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
98466,124,,Accessories,Celine Teen Triomphe Bag,"Celine Teen Triomphe bag in Triomphe canvas and brown smooth calfskin leather. Featuring gold-toned hardware, adjustable leather shoulder strap and a front flap with signature Celine logo. The push-lock closure opens to a partitioned brown leather interior with a front pocket and a zip pocket. Approx. dimensions: 19cm(W) x 14cm(H) x 6cm(D), and 49cm adjustable shoulder drop. Accompanied by a Celine dustbag and care card. With Entrupy Certificate of Authenticity. (Pre-owned)",,https://www.solditonline.com.au/catalogue/images/2021/98466-celine-teen-triomphe-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/98466_1-celine-teen-triomphe-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/98466_10-celine-teen-triomphe-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/98466_2-celine-teen-triomphe-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/98466_20-celine-teen-triomphe-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/98466_3-celine-teen-triomphe-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/98466_4-celine-teen-triomphe-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/98466_5-celine-teen-triomphe-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/98466_6-celine-teen-triomphe-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/98466_7-celine-teen-triomphe-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/98466_8-celine-teen-triomphe-bag.jpg|https://www.solditonline.com.au/catalogue/images/2021/98466_9-celine-teen-triomphe-bag.jpg,2400,2700,850,,,,2400,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Designer Bags,,,,,,,,,,,,,,,,,Entrupy,Pre-owned,Celine,,,"<strong>Exterior:</strong> Very good, with slight signs of wear.<p><ul><li><strong>Material:</strong> With minor staining mark on leather sides.</li></ul><p><ul><li><strong>Shape:</strong> Very good.</li></ul><p><ul><li><strong>Stitching:</strong> Very good.</li></ul><p><ul><li><strong>Closure:</strong> Push-lock works very well, with protective vinyl still attached on hardware. With light rubbing marks on inside of flap.</li></ul><p><ul><li><strong>Base:</strong> Very good.</li></ul><p><strong>Interior:</strong> Very good, with slight signs of wear.<p><ul><li><strong>Lining:</strong> Very good, with creases on leather.</li></ul><p><ul><li><strong>Pockets:</strong> Very good.</li></ul><p><ul><li><strong>Zippers:</strong> Zipper works well.</li></ul><p><strong>Handle/Strap:</strong> Excellent, with original wrapping.<p><strong>Hardware:</strong> Very good, with minor scratches.<p>",,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
98647,125,,Jade,Gucci Le Marche De Merveille Jade & Diamond Ring,"Gucci Le Marche De Merveille Jade and Diamond ring with round cabochon cut Natural Green Jade and a centre round Natural Diamond of 0.05ct. 18ct yellow gold. Made in Italy. Gucci stamped size 13, measures as Australian size: J - ring resizing is not recommended. Band width: 2.6mm. Weight: 6.5g. (Pre-owned)",,https://www.solditonline.com.au/catalogue/images/2021/98647-gucci-le-marche-de-merveille-jade---diamond-ring.jpg|https://www.solditonline.com.au/catalogue/images/2021/98647_1-gucci-le-marche-de-merveille-jade---diamond-ring.jpg|https://www.solditonline.com.au/catalogue/images/2021/98647_2-gucci-le-marche-de-merveille-jade---diamond-ring.jpg|https://www.solditonline.com.au/catalogue/images/2021/98647_3-gucci-le-marche-de-merveille-jade---diamond-ring.jpg|https://www.solditonline.com.au/catalogue/images/2021/98647_4-gucci-le-marche-de-merveille-jade---diamond-ring.jpg|https://www.solditonline.com.au/catalogue/images/2021/98647_5-gucci-le-marche-de-merveille-jade---diamond-ring.jpg,1500,1700,550,,,,1500,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ring,,,,,,Diamond,,0.05,0 - 0.49,,18,Yellow Gold,,,Branded,,,Pre-owned,Gucci,,,,,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
99171,126,,Diamond,3.01ct Loose Yellow Diamond GIA SI1,A loose cushion cut natural Diamond of 3.01ct (with GIA Report graded as Natural Fancy Light Yellow Even SI1 #5232628711). (New),,https://www.solditonline.com.au/catalogue/images/2021/99171-3.01ct-loose-yellow-diamond-gia-si1.jpg|https://www.solditonline.com.au/catalogue/images/2021/99171_20-3.01ct-loose-yellow-diamond-gia-si1.jpg,23000,26000,8250,,,,21500,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loose Gems,Yellow,SI1,Cushion,3.01,Engagement,,,,3 - 3.99,,,,,,,,GIA,New, ,https://www.youtube.com/watch?v=LTuDB3Zwe20,,,"<p>&nbsp;</p><p><strong>Additional videos:</strong></p>
<p><u><a href='https://www.youtube.com/shorts/9LtD32wz_ZY' target='_blank'><span style='color:#2980b9'>Video 1</span></a></u></p>
<p><u><a href='https://www.youtube.com/shorts/9vTqLy6f4RE' target='_blank'><span style='color:#2980b9'>Video 2</span></a></u></p>
<p><u><a href='https://www.youtube.com/shorts/ohhDLroHft8' target='_blank'><span style='color:#2980b9'>Video 3</span></a></u></p>",<STRONG>*Shipping:</STRONG> <BR>This item will be dispatched 7 working days after full payment is received <BR><BR><STRONG>*Viewing:</STRONG> <BR>Pre-auction viewing is unavailable for this item,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
98532,127,,Pearl,10.9-8.2mm Tahitian Pearl Necklace,Pearl necklace with 43 graduated Tahitian Pearls from 10.9 - 8.2mm. 14ct yellow gold 10mm ball clasp. Length: 47cm. Weight: 57.6g. (As New),,https://www.solditonline.com.au/catalogue/images/2021/98532-10.9-8.2mm-tahitian-pearl-necklace.jpg|https://www.solditonline.com.au/catalogue/images/2021/98532_1-10.9-8.2mm-tahitian-pearl-necklace.jpg|https://www.solditonline.com.au/catalogue/images/2021/98532_2-10.9-8.2mm-tahitian-pearl-necklace.jpg|https://www.solditonline.com.au/catalogue/images/2021/98532_3-10.9-8.2mm-tahitian-pearl-necklace.jpg|https://www.solditonline.com.au/catalogue/images/2021/98532_4-10.9-8.2mm-tahitian-pearl-necklace.jpg,2400,2600,850,,,,2300,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necklace,,,,,Strand,,,,,,14,Yellow Gold,,8 - 11,Tahitian,,,As New, ,,,"<strong>Notes:</strong> Pearl grading using the GIA scale:
Shape: Near Round, Button, Drop
Colour: Tahitian - Dark Grey with strong Purple and Green overtone
Lustre: Very Good - Excellent
Surface: Slightly - Moderately Spotted",,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
98670,128,,Diamond,0.30ct Black & White Diamond Dolphin Pendant,Dolphin design pendant with round Natural black & white Diamonds totalling 0.30ct and a round Natural blue Sapphire eye of 0.01ct. 18ct white gold with black rhodium plating and 45cm 18ct white gold chain. Weight: 5.8g. (Pre-owned),,https://www.solditonline.com.au/catalogue/images/2021/98670-0.30ct-black---white-diamond-dolphin-pendant.jpg|https://www.solditonline.com.au/catalogue/images/2021/98670_1-0.30ct-black---white-diamond-dolphin-pendant.jpg|https://www.solditonline.com.au/catalogue/images/2021/98670_2-0.30ct-black---white-diamond-dolphin-pendant.jpg|https://www.solditonline.com.au/catalogue/images/2021/98670_3-0.30ct-black---white-diamond-dolphin-pendant.jpg|https://www.solditonline.com.au/catalogue/images/2021/98670_4-0.30ct-black---white-diamond-dolphin-pendant.jpg,900,1400,350,,,,900,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendant,,,,0.3,Dress Pendant,Sapphire,Blue,0.01,0 - 0.49,0 - 0.99,18,White Gold,,,,,,Pre-owned, ,,,<strong>Notes:</strong> These natural black diamonds have not been tested for colour treatment. Please note that black diamonds are commonly treated to enhance their colour.,,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
98949,129,,Watches Mens,Longines Spirit Zulu Time Mens Watch,"Longines Spirit Zulu Time stainless steel automatic mens watch. Black dial, date, case diameter: 42mm, wrist size: 20cm, Swiss made. Ref# L3.812.4.63.6. With Longines stainless steel bracelet and clasp. With Certificate of Authenticity, Longines International Warranty card dated 27/01/2023, Longines COSC Certified Chronometer card and Longines box. 3 month FSA warranty. Weight: 164.3g (Pre-owned)",,https://www.solditonline.com.au/catalogue/images/2021/98949-longines-spirit-zulu-time-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/98949_1-longines-spirit-zulu-time-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/98949_2-longines-spirit-zulu-time-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/98949_20-longines-spirit-zulu-time-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/98949_3-longines-spirit-zulu-time-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/98949_4-longines-spirit-zulu-time-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/98949_5-longines-spirit-zulu-time-mens-watch.jpg|https://www.solditonline.com.au/catalogue/images/2021/98949_6-longines-spirit-zulu-time-mens-watch.jpg,3200,3500,1200,,,,3200,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watch,,,,,,,,,,,,Stainless Steel,,,,,David Lightfoot Watchmaker,Pre-owned,Longines,,,"<strong>Type:</strong> Longines, Ref# L3.812.4.63.6, Spirit Zulu Time, stainless steel<p><strong>Dial:</strong> Black dial with date window at 3 o'clock posiiton and a scratch resistant sapphire cyrstal<p><strong>Case No:</strong> 53….. (the serial number is concealed for security reasons in the online copy of the certificate)<p><strong>Case Info:</strong> 42mm, stainless steel with bidirectional rotating bezel and pull-push back crown<p><strong>Watch Movement:</strong> Longines calibre L844.4, self-winding, automatic<p><strong>Band:</strong> Longines stainless steel nracelet with 17 links and push button foldover clasp.<p><strong>Condition:</strong> This timepiece is presented in good condition with surface scratches throughout, most noticeable on the case back, and a small dent on the bezel. The bracelet shows moderate wear.<p><strong><a href='https://www.firststateauctions.com/au/watch-condition-report'> (click here for more  information)</a></strong><p><strong>Box:</strong> Goo dondition<p><strong>Warranty:</strong> FSA warranty of 3 months applies to this watch<p><strong><a href='https://www.firststateauctions.com/au/swiss-watches-warranty'> (click here for more  information)</a></strong><p><strong>Notes:</strong> Timekeeping accuracy has been tested within 20 seconds per day and warranty cover is for within 20 seconds per day.
<P>
Buyers to assume the watch hasn’t been serviced unless stated otherwise.",,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
97085,130,,Opal,34.21ct Boulder Opal & Diamond Pendant,Opal and Diamond pendant with freeform cabochon cut Natural Boulder Opal totalling 34.21ct and round Natural Diamonds totalling 0.50ct. (Estimated grading: G-H SI-P1). 18ct white gold and 40.5cm 18ct white gold chain. Chain made in Italy. Weight: 19.4g. With Certificate #421827. (Pre-owned),,https://www.solditonline.com.au/catalogue/images/2021/97085-34.21ct-boulder-opal---diamond-pendant.jpg|https://www.solditonline.com.au/catalogue/images/2021/97085_1-34.21ct-boulder-opal---diamond-pendant.jpg|https://www.solditonline.com.au/catalogue/images/2021/97085_2-34.21ct-boulder-opal---diamond-pendant.jpg|https://www.solditonline.com.au/catalogue/images/2021/97085_20-34.21ct-boulder-opal---diamond-pendant.jpg|https://www.solditonline.com.au/catalogue/images/2021/97085_3-34.21ct-boulder-opal---diamond-pendant.jpg|https://www.solditonline.com.au/catalogue/images/2021/97085_4-34.21ct-boulder-opal---diamond-pendant.jpg|https://www.solditonline.com.au/catalogue/images/2021/97085_5-34.21ct-boulder-opal---diamond-pendant.jpg,4500,4800,1600,,,,4200,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pendant,,,,34.21,,Diamond,,0.5,0.5 - 0.99,20 - 150,18,White Gold,,,,,Mitchells Jewellery Valuations,Pre-owned, ,,,,,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
98679,131,,Diamond,1.17ct Loose Parcel of Diamonds,A loose parcel of 10 round Natural Diamonds totalling 1.17ct (Estimated grading H-I P1). Size: approx. 3.06mm-3.10mm. (As New),,https://www.solditonline.com.au/catalogue/images/2021/98679-1.17ct-loose-parcel-of-diamonds.jpg|https://www.solditonline.com.au/catalogue/images/2021/98679_1-1.17ct-loose-parcel-of-diamonds.jpg|https://www.solditonline.com.au/catalogue/images/2021/98679_2-1.17ct-loose-parcel-of-diamonds.jpg|https://www.solditonline.com.au/catalogue/images/2021/98679_3-1.17ct-loose-parcel-of-diamonds.jpg|https://www.solditonline.com.au/catalogue/images/2021/98679_4-1.17ct-loose-parcel-of-diamonds.jpg,700,1000,250,,,,700,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loose Gems,H,P1,Round,1.17,,,,,1.5 - 1.99,,,,,,,,,New, ,,,,,,<br><br><strong>Australian Customers</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be included in the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul><strong>International Customers (Export - Items delivered to an address outside of Australia)</strong><br><ul type='disc'><li>All auction estimates and bids include 10% GST</li><li>GST will be deducted from the hammer price</li><li>This item attracts 20% Buyer&rsquo;s Premium</li></ul>
